Date,Close,High,Low,Open,Volume
,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS
2020-01-01,509.7278747558594,511.057788102216,503.030939500056,506.2132114436203,2611808
2020-01-02,512.8151245117188,513.9075574833955,506.7831458731821,510.1078712912817,2776519
2020-01-03,506.0707092285156,512.0077189566775,503.83841676217105,511.96023447457435,1930883
2020-01-06,498.2339172363281,503.45848643518383,494.4342305462513,503.363517459379,2059404
2020-01-07,500.2762145996094,505.35827177279737,496.85646218390497,502.41353811744546,2111349
2020-01-08,498.3763732910156,500.0862205158008,493.00929324631164,494.81416741495843,1612378
2020-01-09,514.1451416015625,515.2850592849023,499.3738701452697,503.31601057776675,2897598
2020-01-10,519.2271118164062,520.1770333952717,512.2452114031901,516.8523078692426,2355888
2020-01-13,527.1589965820312,529.1063242406955,519.2271165391908,521.4119825733441,3442869
2020-01-14,534.3309326171875,535.5183346896702,527.1590356951157,527.1590356951157,2793249
2020-01-15,541.2177734375,542.4051753098947,528.8213094854209,533.855881828653,2564513
2020-01-16,539.0330810546875,541.2653738615278,535.8033240784825,540.7429285214821,2243200
2020-01-17,540.7903442382812,545.2549872628107,536.84820446597,538.4155402867882,2646260
2020-01-20,538.795654296875,545.2551109140693,536.0883423910499,540.5055019339816,1847978
2020-01-21,525.11669921875,536.6107864676709,522.5518990571813,535.755833754275,3101684
2020-01-22,525.8765869140625,528.6313828101796,521.5069706429265,525.7816179432783,1862669
2020-01-23,538.130615234375,538.9855679116308,522.0294316559109,525.7816337726858,2113303
2020-01-24,539.3179931640625,543.3551599997248,535.8507561019894,537.7505993187716,2284717
2020-01-27,549.3397216796875,553.3294045182904,534.8059308906394,536.7057743396293,3654906
2020-01-28,543.830078125,560.2162245837882,540.0303919896288,552.1418915461245,3689004
2020-01-29,548.8171997070312,551.6194799987915,543.4976619839642,548.5797193090619,1934080
2020-01-30,539.4129028320312,558.1263680557574,535.6132168161928,549.0546292886644,2901951
2020-01-31,538.7481079101562,548.1048133345587,536.9907180022417,542.2152872801274,2352196
2020-02-03,530.7212524414062,537.4181886673438,508.39809303586924,517.707313873093,3818209
2020-02-04,548.0098266601562,549.8146430197891,530.8162098955488,533.8559707911506,2793702
2020-02-05,555.0866088867188,560.3111771701617,548.4847008023451,551.1919539032316,3320830
2020-02-06,551.0970458984375,559.6463403987614,547.202332505566,555.7041425210554,2207104
2020-02-07,540.6004028320312,552.379454810495,533.1910253520509,550.0046506195642,4083215
2020-02-10,501.9385681152344,538.6055166006607,499.706217694891,538.4155206957322,9648880
2020-02-11,497.8064270019531,510.7728806615959,496.52405597127023,506.4982332544982,5404802
2020-02-12,504.40838623046875,507.5431160180989,497.66396583954884,500.27625032567653,3426829
2020-02-13,506.8781433105469,511.0578215481106,501.8435704188997,503.8859250533347,3392352
2020-02-14,496.8090515136719,510.0604708887758,494.5767586992744,508.4455923952063,3507540
2020-02-17,496.5715637207031,499.0888793920356,490.1595923096754,497.85393481146116,2652464
