Date,Close,High,Low,Open,Volume
,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
2020-01-01,673.7319946289062,676.9367713680019,670.6867611249379,675.5531915092741,477180
2020-01-02,671.4663696289062,677.1009116572586,669.5425574706278,676.9162710989534,922320
2020-01-03,665.2778930664062,674.4591140441839,663.568381962881,672.4077007199535,800000
2020-01-06,657.2113037109375,662.9255894195384,650.7538926361459,662.9255894195384,1302720
2020-01-07,651.4718627929688,663.1421697241223,650.1088170645947,657.5258247750788,1444740
2020-01-08,656.0534057617188,658.731639937937,643.7039126055408,646.9519838405289,789760
2020-01-09,667.5503540039062,668.9886359430386,658.7315699745764,660.7829831682687,1114160
2020-01-10,669.4832763671875,670.9899499651218,664.2134524317938,667.550393606314,785480
2020-01-13,668.22509765625,672.312009075257,665.6152550778887,672.312009075257,539800
2020-01-14,677.8143920898438,679.0178947341199,665.8888255676121,668.2092423272655,1007560
2020-01-15,677.431396484375,681.52509685812,670.9876748123963,675.9635096313131,829360
2020-01-16,699.9832153320312,701.9480400406977,676.8797749135122,677.011939258224,4064160
2020-01-17,703.8375854492188,711.1565965741453,700.1541790079879,701.9936284786846,1927980
2020-01-20,702.8255615234375,705.658775560753,694.2962589498819,694.2962589498819,1375400
2020-01-21,696.60302734375,706.6709468987312,692.9219019986435,700.2636741684181,1265160
2020-01-22,708.8180541992188,710.472863286698,697.5261538462931,700.6260897855984,1112540
2020-01-23,708.824951171875,712.2963944279064,704.5466096565308,706.5980232724831,857220
2020-01-24,718.2454833984375,722.5534295360949,706.6048357518415,711.1566877453047,1012640
2020-01-27,714.1676635742188,722.3254598582723,709.3308932692917,715.7153499384585,627240
2020-01-28,702.7982788085938,716.1711967469349,700.5257753553827,714.0742075550905,1062140
2020-01-29,723.31689453125,724.8303570651121,703.8626377726738,710.4727467413938,1285020
2020-01-30,707.546142578125,720.7686439320247,705.2873285077146,720.3651948420669,945040
2020-01-31,700.190673828125,712.8547458570995,697.9501123751356,709.3331639970909,1192980
2020-02-03,743.1131591796875,752.1849770016412,707.9656177476054,710.6552600071209,4075040
2020-02-04,750.1610107421875,752.5452004981981,735.183364195635,747.626348362233,2328320
2020-02-05,746.9356689453125,751.359864411002,741.0640649030587,751.0909168658065,1150220
2020-02-06,742.3814697265625,754.4392001365717,736.5851025031388,747.5806766243885,1481680
2020-02-07,744.3348999023438,746.9424610828834,738.2626846797964,744.8910475492411,828140
2020-02-10,737.2415161132812,746.3999776235568,734.4971718641061,743.0675437072293,1225400
2020-02-11,729.261474609375,743.0697836048261,727.1120648705652,740.3322842318482,1467000
2020-02-12,742.9627075195312,750.9358634515313,727.953176647444,730.5767087766902,2580220
2020-02-13,748.182373046875,750.4298349048473,742.0349774990912,744.3439862116186,3024560
2020-02-14,745.6408081054688,765.0585595106049,740.7880675225184,752.1848070228649,3314160
2020-02-17,756.2171020507812,757.4274493684644,746.3954257205831,748.2189043829208,2795760
2020-02-18,747.8016967773438,755.3714029716597,746.9446596592603,755.3714029716597,1800260
2020-02-19,765.1795043945312,767.297027864813,751.0817129272169,753.9445877419997,1900000
2020-02-20,753.9856567382812,763.1258663453478,753.3429205376017,763.1258663453478,1314640
2020-02-24,744.7657470703125,755.6838602516386,743.8425997578134,752.1394620495163,1330320
2020-02-25,746.7373657226562,754.047196113196,743.4938573398931,746.3954634561824,1818320
2020-02-26,740.3391723632812,754.2363522668601,736.2317822759353,754.2363522668601,2336780
2020-02-27,741.4149780273438,744.9297151077023,732.0126668003426,743.0675054551197,1803980
2020-02-28,719.3098754882812,735.2744392763373,714.8035996191871,731.3060584225641,2813460
2020-03-02,734.40380859375,743.7514190623198,724.8784022635618,727.112174933742,2344640
2020-03-03,745.7752685546875,752.1392458564751,735.3290547657712,735.3290547657712,1867440
2020-03-04,754.076904296875,758.2253075962986,730.3032874007338,747.4895534904138,2234220
2020-03-05,755.6633911132812,767.4635842811622,751.3873305463719,754.4644514207465,1701800
2020-03-06,748.9619750976562,755.1731992989886,738.5134223160985,745.7161853005742,1724240
2020-03-09,730.820556640625,745.3468378075735,715.7654511265337,740.7562551632647,2473680
2020-03-11,731.6046142578125,738.5087684069001,719.0340320177991,729.626155731339,2474640
2020-03-12,709.586181640625,724.0463530552641,685.8558633908592,723.4400108280796,4457320
2020-03-13,683.4307250976562,722.7813710302091,640.4968945426956,699.3496585628599,5232400
2020-03-16,656.3246459960938,680.66125196733,615.0889764080757,674.6870890453991,4424560
2020-03-17,662.8800048828125,673.6385168106713,649.6142100390136,661.0109505660139,3539600
2020-03-18,617.1017456054688,671.8608140173355,610.8654233653253,663.2904410422002,4258440
2020-03-19,598.1146850585938,613.0717397084976,573.3495323200935,592.6533754200373,4294200
2020-03-20,644.8505249023438,657.9613423024945,599.4686727055606,601.6568695876275,4098500
2020-03-23,590.107421875,638.2085253481514,581.2362143245205,581.2521853472973,3918540
2020-03-24,614.4370727539062,633.157389503549,556.160991875715,633.157389503549,5173340
2020-03-25,658.4627075195312,661.9227426382031,583.5131615543388,583.5131615543388,3974440
2020-03-26,680.1416015625,688.3632269439397,640.5675829955649,670.1147500290673,4106880
2020-03-27,688.7552490234375,708.1479627639773,674.6871175607267,702.0392980023778,3504880
2020-03-30,713.830322265625,724.3768710291571,669.5676721267972,683.3486026889279,4029400
2020-03-31,743.0949096679688,748.7636198384286,715.7723354371213,722.5078206570842,3678380
2020-04-01,713.643310546875,750.1789878213395,706.5978660512887,743.078841200759,2550240
2020-04-03,688.5750732421875,726.6424671602217,684.0323481708707,726.6424671602217,3815520
2020-04-07,776.7403564453125,784.095817886466,703.2268103699886,710.0169978826574,4938020
2020-04-08,769.1091918945312,799.7801196344201,754.7128463473516,759.0230744635961,4968900
2020-04-09,767.6707763671875,799.7776992651551,755.6039204768772,794.8975792046657,4150160
2020-04-13,756.7413330078125,773.7931505220666,744.4419788263228,767.9124209417695,1658140
2020-04-15,789.835205078125,792.8029210407755,759.3466397427993,759.3466397427993,3111580
2020-04-16,815.7902221679688,820.6406823713746,777.355821702566,789.5663069911852,4514800
2020-04-17,789.7623291015625,837.4303151714621,785.1625639934301,837.4303151714621,3745420
2020-04-20,773.9024658203125,797.3067952427069,771.7872242220449,797.3067952427069,2703940
2020-04-21,775.6781616210938,785.9192574776839,761.3022969766428,765.8609933657245,2675080
2020-04-22,804.2474975585938,806.889282219307,766.6450960759992,775.3590400024647,4044820
2020-04-23,794.8566284179688,811.4480139897387,788.928041123539,802.3283389998436,3742000
2020-04-24,793.4889526367188,811.4479457096538,788.6544640885962,788.6544640885962,2902320
2020-04-27,818.322509765625,821.2492130895708,794.3529024749248,801.6468172178797,2439720
2020-04-28,800.947021484375,821.6116287839983,797.8174807207806,819.4941053099008,2150860
2020-04-29,797.3023071289062,809.0774554890024,793.2131698330811,809.0774554890024,2104840
2020-04-30,817.13037109375,820.5653644648111,798.3189034356161,806.8892750570643,3167400
2020-05-04,795.7865600585938,808.1725024604303,791.3919700874583,794.1477220718652,2379480
2020-05-05,794.193359375,804.0150358331645,779.5371383058758,801.0085887050211,2613580
2020-05-06,789.0785522460938,803.1101791050385,787.286959867287,794.193396846362,2710180
2020-05-07,781.4723510742188,787.7428410190204,767.0121775564411,784.0958834217101,4181520
2020-05-08,811.58251953125,812.359757290384,784.1642291448125,790.9338826592683,3584000
2020-05-11,800.6028442382812,816.9184373086797,797.3160417705808,810.080392353529,3680620
2020-05-12,796.0372314453125,810.3994061365646,792.5293391832926,802.7408298629397,4778500
2020-05-13,752.7479248046875,809.168639461601,747.6262358969158,809.168639461601,11240660
2020-05-14,740.4463500976562,768.1404339938746,738.5544797389007,756.7436916497518,8204760
2020-05-15,749.6228637695312,754.4641967517648,738.5976306545294,752.1848487253244,5431840
2020-05-18,740.3482666015625,755.6039285272692,736.7856164268533,749.495264219802,3359200
2020-05-19,736.2432861328125,748.3465937915979,734.3445709444753,742.1650293347968,2362880
2020-05-20,743.222412109375,756.5133033672853,736.2749640065393,740.3777903183624,3590780
2020-05-21,742.8601684570312,752.4128974488647,741.4720252654216,744.4351781484374,2421600
2020-05-22,739.1995239257812,747.4804143929007,736.229526310595,742.8852124466823,2366000
2020-05-26,759.2577514648438,763.5816684438956,744.1798293095162,746.7144912902096,3973840
2020-05-27,762.0545043945312,766.772744098085,751.5968257847167,761.3023083494661,3350660
2020-05-28,774.48388671875,776.3460966299149,760.39065718068,762.0545927100172,3525760
2020-05-29,799.6317138671875,802.3304818850415,765.1565759736897,772.6989584063326,4889320
2020-06-01,783.3412475585938,809.122977703002,780.0384744772774,799.6317413092909,3503720
2020-06-02,775.6370849609375,796.7233371082128,773.7019205904711,796.7233371082128,2644020
2020-06-03,793.5573120117188,798.772433683896,781.9075395427136,782.9560619139967,2922020
2020-06-04,783.94091796875,799.8940761809582,781.7276794391893,793.5278156394011,1952620
2020-06-05,779.3934936523438,795.9483725244078,772.9976293995846,789.4294145680701,3241920
2020-06-08,767.5112915039062,786.3751806725751,765.4051758546397,786.3751806725751,2941400
2020-06-09,754.5805053710938,774.2945857841042,753.1422232971694,759.1141044688475,3493700
2020-06-10,753.7667846679688,767.3197805996952,748.0821034289129,759.0229751426813,2468800
2020-06-11,762.7474975585938,773.8500872589702,759.417875521426,760.0723408982764,3302620
2020-06-12,757.6060791015625,767.7464796058046,748.5908387216031,748.5908387216031,2813560
2020-06-15,753.1973876953125,764.6650537553575,751.8058216201322,757.7761793972011,2793080
2020-06-16,750.5244750976562,762.2769351492376,747.2132407535776,762.2769351492376,3864740
2020-06-17,743.9133911132812,755.0205790350883,740.1015811944051,750.6576255674281,2539180
2020-06-18,743.0316162109375,748.5909282140755,737.3207131096542,744.8479623606457,3168900
2020-06-19,739.1692504882812,748.8503941206126,737.2105073439217,748.1316818761096,3377860
2020-06-22,741.2796020507812,748.1317559337867,737.79844438774,748.1317559337867,2718300
2020-06-23,760.0012817382812,767.879871264612,744.4599966918097,748.1225703917308,4894700
2020-06-24,767.3264770507812,774.3094791882578,758.6556782679329,765.1243133615881,4021380
2020-06-25,770.956787109375,773.8501364537726,760.7612765790352,761.9232133841502,3393300
2020-06-26,765.9280395507812,777.5243117730311,763.7465625980808,773.8502453263777,2206820
2020-06-29,768.1024780273438,779.8480406512891,759.6130965505649,768.7982609586733,3392920
2020-06-30,788.750732421875,794.4249149905154,769.436658800378,771.5079179190781,4020660
2020-07-01,771.5010986328125,790.1538691525953,767.8798426173435,790.1538691525953,4338000
2020-07-02,771.0647583007812,780.0501188359378,765.1747377493253,780.0501188359378,2939400
2020-07-03,766.7592163085938,780.2797520237573,764.6649718184555,772.1876240539522,3633160
2020-07-06,771.6456298828125,773.4826627415376,766.3618618804323,769.4871386985278,1966740
2020-07-07,776.7158813476562,778.4426967705688,768.3413142841505,774.0797436028281,2827120
2020-07-08,771.64794921875,787.6278594116246,768.6604722092388,777.799722140135,4374420
2020-07-09,769.6755981445312,779.1753269883001,766.0887638890572,773.3909821178515,1837880
2020-07-10,773.0740356445312,774.9960022784102,763.654644404235,769.6755133649065,2672220
2020-07-13,778.7572631835938,785.2396881534174,775.0005064625624,775.4574661263956,2280580
2020-07-14,775.9534301757812,786.0272854532028,773.9418770670777,778.3967151339351,1517060
2020-07-15,776.5482788085938,787.3064255364641,768.7982959861528,777.9834608127495,2530380
2020-07-16,803.5020751953125,815.8538339064856,769.7167713848504,777.3404465716494,5930740
2020-07-17,791.2996826171875,809.2130532721917,788.3168024640846,803.4264104146142,2502760
2020-07-20,792.082763671875,797.7316631586874,783.9814966342882,795.6190862014857,3931480
2020-07-21,793.3961791992188,803.4699793789005,790.2938875956156,796.8130335400107,4223720
2020-07-22,787.7129516601562,800.9464522864043,780.7873008147317,796.813127704651,3129560
2020-07-23,792.5144653320312,794.4686115566565,783.0353677017621,786.250175663001,2138820
2020-07-24,792.3054809570312,799.5686233629827,778.9020018515903,786.4843601399361,4145600
2020-07-27,796.8245849609375,799.7959724900413,790.4707087225685,794.5168009596629,2076560
2020-07-28,785.1204223632812,802.5377590935277,781.092718255055,799.4308700843719,3179340
2020-07-29,762.27001953125,789.8783265327199,758.2630022529015,780.7367770197145,9010100
2020-07-30,758.8782958984375,770.2655676131708,755.5302855262246,768.7982622636744,2569680
2020-07-31,758.795654296875,765.778711885499,754.6623300363253,758.9701746747924,2958800
2020-08-03,758.9149780273438,762.3686086460366,750.887153696548,759.0619720453005,2316860
2020-08-04,761.4500122070312,764.5982178533574,753.8194425346642,763.9897232297157,2200960
2020-08-05,757.9298706054688,764.3870678671766,755.9390042297284,763.7463937023319,1955300
2020-08-06,765.911865234375,766.9612860446199,755.4798296667065,762.3687034934545,2117760
2020-08-07,771.0303344726562,776.1005637265675,760.3433855317605,765.53302642113,1769000
2020-08-10,765.3883056640625,774.3071211789438,764.2057380794344,771.0923133865424,1282880
2020-08-11,763.4158935546875,770.8948745388341,761.496169210654,768.1094998838985,757460
2020-08-12,759.6522216796875,763.3813967078574,755.4798781042199,761.5443635696101,1643260
2020-08-13,756.5911865234375,765.2137146353942,755.865522666313,756.030848895814,1326060
2020-08-14,751.1030883789062,760.0265009826722,748.8228868294218,757.179066151215,1188680
2020-08-17,754.2352905273438,758.9013142376995,749.2224685150264,755.4798625130448,1251680
2020-08-18,760.28369140625,763.498499354145,749.0961664749917,753.1835763639614,2088000
2020-08-19,750.6920166015625,760.221625099059,749.3028052724494,757.7760973912876,2500100
2020-08-20,744.5472412109375,750.4280684586784,743.3210574192657,748.5910352433572,1961700
2020-08-21,760.6212158203125,766.5020425575761,746.2946789431164,749.6243013568626,2882860
2020-08-24,756.8023681640625,767.3239887132117,753.2293260864753,761.4500586802424,1481440
2020-08-25,748.0490112304688,756.7634815266474,746.9835567389549,755.7553782555923,2177340
2020-08-26,743.5413818359375,750.8114195219275,742.6205668312538,748.1546509939541,2330160
2020-08-27,740.0349731445312,745.8491983582088,738.7169041933229,745.6057780278892,2552900
2020-08-28,739.4631958007812,751.7139321439764,738.9465302653254,741.97762352764,2969780
2020-08-31,732.4962158203125,747.9938830944767,729.0724657774441,744.6872461468508,4425860
2020-09-01,743.85595703125,746.5219758002609,722.8678777413818,734.5835600105513,3538940
2020-09-02,734.4710083007812,746.753867176161,733.43537877019,743.5849742396227,2123840
2020-09-03,752.896484375,755.0021654856919,731.1965323282025,737.109482224552,2677740
2020-09-04,745.49560546875,754.2812186711548,741.7021275635735,741.9317567052341,1978640
2020-09-07,753.3442993164062,758.4650402891199,733.5318906283043,745.8813523562499,2096160
2020-09-08,740.622802734375,751.7873412577442,739.4057572011567,751.7873412577442,2108280
2020-09-09,749.1649169921875,750.8871351921696,734.8130986590038,734.8130986590038,2716000
2020-09-10,754.1341552734375,755.4798065870111,744.0557578399887,746.8113072865067,1544160
2020-09-11,749.755126953125,753.1834738364257,744.1820240200077,753.1834738364257,1624560
2020-09-14,738.6387939453125,753.1835227653515,736.6525244578607,753.1835227653515,2058520
2020-09-15,736.6939086914062,742.432338747032,735.3643469801818,738.946584044772,1899680
2020-09-16,743.8973388671875,745.1465078477,737.1094885026555,737.8672758246908,2485240
2020-09-17,740.3863525390625,748.5358884842858,738.9465733447115,745.8354475523998,2013620
2020-09-18,738.8109741210938,746.2946069931572,731.3687148532941,746.2946069931572,3947020
2020-09-21,708.6698608398438,737.086463420402,695.9828524149885,735.9613031974857,5543300
2020-09-22,698.0380249023438,708.6353851821499,693.4798649546639,708.6353851821499,2142400
2020-09-23,705.698486328125,707.209463850571,694.8577047360204,698.074810892356,2628600
2020-09-24,700.7752075195312,709.0165713045888,696.924323002708,704.8695123387572,2225500
2020-09-25,722.7255859375,727.0058483877897,702.7110744592487,711.6206961951232,3565380
2020-09-28,721.9447021484375,728.8680532069234,717.3682098454505,726.546478319819,1088220
2020-09-29,717.4004516601562,727.9725862251245,715.2947703882281,725.6280816779457,963580
2020-09-30,731.0771484375,736.1335863848772,716.6748160748249,717.8183646617664,2070000
2020-10-01,734.8362426757812,737.1095487659459,725.5178741164025,731.0932764338615,1252760
2020-10-05,736.335693359375,741.2428951979069,722.5212238963004,734.721449771445,1421620
2020-10-06,729.157470703125,740.6917373115483,727.1918319136482,736.3287838818454,1505560
2020-10-07,740.067138671875,740.5516808263392,728.1379160151614,732.8016973214067,1992940
2020-10-08,748.8021850585938,749.9687189482333,737.203615763435,739.4057792447371,1571520
