Date,Close,High,Low,Open,Volume
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
2020-01-01,1770.763916015625,1773.8271035075782,1753.8019185061628,1764.7746103841994,543035
2020-01-02,1772.1358642578125,1785.4401889038322,1764.7749706390057,1773.9188824039747,663275
2020-01-03,1762.4429931640625,1773.9186455448405,1754.4878356387435,1771.9984466545911,1598825
2020-01-06,1751.4703369140625,1764.2261593601263,1747.6299390537445,1762.3516130116352,683129
2020-01-07,1756.27099609375,1765.6892693665473,1753.8021846944785,1754.9451736052542,808935
2020-01-08,1764.180419921875,1770.3069071717166,1743.2408417228742,1746.4869747270445,1889685
2020-01-09,1769.3927001953125,1780.5939921673312,1765.689371262679,1775.3362428743428,1544334
2020-01-10,1786.7200927734375,1789.9204614145362,1766.283475346421,1774.7415924693248,1003336
2020-01-13,1824.072998046875,1826.8161712484255,1789.4633184779827,1793.1208827467165,2040089
2020-01-14,1836.8289794921875,1842.452395746402,1812.6890309038051,1824.6675325973547,1610737
2020-01-15,1848.578857421875,1853.47082766225,1826.3591082291282,1838.9777505198258,1559491
2020-01-16,1873.8157958984375,1878.799182304554,1843.5037112911473,1848.8986406278593,2468958
2020-01-17,1883.919921875,1887.211595705603,1865.403503142851,1879.0736046699433,994719
2020-01-20,1886.2515869140625,1898.1842110192665,1874.5015731231229,1884.1026787415583,829399
2020-01-21,1879.439453125,1897.3616087007854,1876.4676819306494,1883.4171438657556,750000
2020-01-22,1876.05615234375,1886.846011840172,1853.6535706669463,1886.3888162957473,983169
2020-01-23,1880.8109130859375,1884.4229364246062,1860.7858378371577,1876.101888345154,708017
2020-01-24,1896.1728515625,1901.0191692248827,1874.5475905207659,1880.90256425954,914993
2020-01-27,1884.88037109375,1891.6467766119604,1880.6740823186221,1889.1322008364039,429312
2020-01-28,1884.1943359375,1888.217567366151,1867.8266017727424,1885.4743941447957,777052
2020-01-29,1896.6300048828125,1907.2370311060965,1885.5202421386118,1885.5202421386118,873433
