Date,Close,High,Low,Open,Volume
,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
2020-01-01,1218.0533447265625,1226.3755456155673,1211.5909518213866,1216.612149610867,3123998
2020-01-02,1250.9234619140625,1253.4340039079193,1219.0296581033251,1219.959505287233,4335359
2020-01-03,1241.392578125,1250.5979748099267,1236.8363040395543,1250.5979748099267,2059871
2020-01-06,1224.37646484375,1238.5566365459465,1221.9123467318536,1237.6267892212122,2646905
2020-01-07,1227.863525390625,1245.5306264753822,1221.5870552684087,1234.8373810819764,2077893
2020-01-08,1200.9443359375,1216.8911264628036,1193.319519908564,1210.6611949024882,4147568
2020-01-09,1223.818603515625,1227.3055310528005,1213.5437449700455,1219.0298669965528,2067779
2020-01-10,1231.67578125,1242.2295260066342,1226.468658773843,1226.468658773843,2360798
2020-01-13,1241.0670166015625,1245.4373665602698,1235.4879333828426,1235.766932946474,1825244
2020-01-14,1233.0704345703125,1237.62670886704,1222.8421146623205,1236.510937552503,2046500
2020-01-15,1230.7457275390625,1242.4153552668688,1227.398300330418,1232.6054219335024,2127677
2020-01-16,1226.7476806640625,1239.3935821949206,1224.9809479596813,1234.558307766785,1773135
2020-01-17,1212.7066650390625,1232.930841509012,1210.661046614912,1227.956181722349,2941837
2020-01-20,1217.727783203125,1227.3052540798672,1214.845279790922,1221.7725955320816,2542477
2020-01-21,1210.9864501953125,1221.7262305094794,1209.2197178548486,1213.2181061250176,1361576
2020-01-22,1203.4083251953125,1219.9596524683916,1201.3627065466173,1219.0298051723028,2449753
2020-01-23,1238.8355712890625,1245.8558501192194,1214.3805425261507,1215.3103898022046,10056067
2020-01-24,1263.848388671875,1271.8915904158566,1238.5565878364725,1238.5565878364725,5837319
2020-01-27,1253.9921875,1269.1487456020097,1245.995522519511,1245.995522519511,2510013
2020-01-28,1252.178955078125,1259.9431577399685,1244.1357528089134,1256.1308063108888,2352852
2020-01-29,1269.892333984375,1278.4934209795645,1257.2464341846883,1258.1762814274114,3678474
2020-01-30,1274.07666015625,1280.2137428290293,1258.083332813645,1270.124809332556,2743506
2020-01-31,1273.2398681640625,1280.3996464926604,1265.0106293038677,1279.4232614902412,3939306
2020-02-03,1196.3880615234375,1212.4279275862216,1182.7657757600707,1199.5030273038453,5767353
2020-02-04,1201.130126953125,1215.589296392299,1197.224814095164,1205.0819775740274,3604309
2020-02-05,1218.146484375,1232.0476559202305,1204.1522372956215,1206.8488171306835,4220104
2020-02-06,1225.1668701171875,1232.0477633459052,1217.2167432200297,1230.0951065732747,2354458
2020-02-07,1207.8714599609375,1222.1911289158627,1205.0819184829677,1220.935857952123,3053804
2020-02-10,1195.1329345703125,1211.0797270211242,1183.7887279399602,1208.8016462443697,3039992
2020-02-11,1196.62060546875,1207.8251981948656,1193.9240253891828,1201.3628043635701,2200796
2020-02-12,1206.291015625,1208.662058269475,1190.2046110263936,1198.666199231558,2568696
2020-02-13,1201.5950927734375,1208.6619090777597,1194.8537003009226,1207.8715616271584,1545536
2020-02-14,1204.2916259765625,1213.40406044913,1200.060775806155,1204.1521261949606,1780119
2020-02-17,1190.3905029296875,1206.8023309568207,1187.4150368852218,1206.0119834300176,2155085
2020-02-18,1196.109130859375,1199.31717236086,1177.6051456627006,1191.5993938570925,2347917
2020-02-19,1191.506103515625,1207.8713898686979,1187.042792007184,1206.941542763333,1820353
2020-02-20,1190.7623291015625,1198.4801064423848,1185.834206931864,1190.1114814492362,3034681
2020-02-24,1171.3287353515625,1182.6729418419047,1164.7733792242025,1182.6729418419047,3414064
2020-02-25,1154.9168701171875,1176.8612434250658,1153.150137567637,1173.6532021755995,3133077
2020-02-26,1126.1845703125,1151.150947399252,1121.3958340577526,1148.3614055234862,5721483
2020-02-27,1125.440673828125,1131.5776433993358,1115.8167768293224,1127.3003684561738,4003149
2020-02-28,1104.240234375,1112.5157847483715,1080.482589857952,1106.1928910529107,6286647
2020-03-02,1079.459716796875,1127.3003133626619,1069.8358202684124,1120.4659586399418,3177486
2020-03-03,1098.4287109375,1103.5428713205029,1080.5291495969896,1084.2020011966258,3134527
2020-03-04,1094.1046142578125,1104.5188563878908,1076.762943120205,1101.8688148509868,3135151
2020-03-05,1099.497802734375,1103.9611148046329,1084.387785370235,1097.312684463063,2625152
2020-03-06,1077.60009765625,1082.3422963564608,1051.517834544958,1067.4647390182276,3956575
2020-03-09,1024.6451416015625,1056.1205621225488,992.426024884206,1056.1205621225488,8038295
2020-03-11,1038.5927734375,1042.3121621973914,1009.6281242752349,1013.5334370704261,5628125
2020-03-12,945.2361450195312,994.9830261945275,933.6595362099928,994.9364884325604,9200130
2020-03-13,977.6879272460938,986.0565531948685,827.5641216010536,883.3549612595516,8117911
2020-03-16,900.7431030273438,968.9008996873013,894.4201526526124,943.097636763767,6671806
2020-03-17,889.6314086914062,934.4965411391307,874.1959661361301,903.8115800868011,4720207
2020-03-18,841.0933227539062,906.3686113740978,836.8625290963713,900.0921424058749,5586097
2020-03-19,783.9542236328125,821.9850003076733,778.9330823435911,812.5935654263224,7251950
2020-03-20,804.0389404296875,816.2199168851962,772.9820191146699,789.440327036061,6130185
2020-03-23,673.2559204101562,753.1298254929098,656.4721881405245,752.2464592148503,7308612
2020-03-24,667.457275390625,712.5735534392563,633.6082407028518,711.8664013849004,7110384
2020-03-25,722.0022583007812,730.7238004350055,623.236686564566,657.3685710751666,16122446
2020-03-26,790.1246337890625,794.1789610924238,711.0650499548611,742.7454418464606,9028497
2020-03-27,789.2289428710938,839.1538968984544,765.610072226455,818.3165029273306,6573448
2020-03-30,753.022705078125,768.4385974807036,745.8097308064253,755.2384252540412,4474168
2020-03-31,762.3099975585938,775.9816054307022,745.9983665725434,773.1529969054384,8045468
2020-04-01,730.1109619140625,765.9871918187101,722.7565914485206,760.7542201439759,4104403
2020-04-03,730.393798828125,745.9039543155026,719.2207619841905,745.9039543155026,4268480
2020-04-07,755.8513793945312,766.5529255074944,745.8097959119656,759.0099692909384,5768998
2020-04-08,760.9899291992188,784.4674021134756,752.1269906754058,758.0670568500414,6151091
2020-04-09,766.3643188476562,786.6831450830971,758.4442495687423,786.6831450830971,6410296
2020-04-13,816.0064697265625,822.5594246582442,761.7914701916695,766.3643645244669,9462711
2020-04-15,829.8666381835938,873.6628817256625,819.3536199259132,840.0496175775231,10435477
