Date,Close,High,Low,Open,Volume,Return,MA_7,MA_21,Volatility_7,Volatility_21,High_Low_Spread,Open_Close_Change,Return_lag1,Return_lag2,Return_lag3,Return_lag4,Return_lag5,Return_lag6,Return_lag7,Return_lag8,Return_lag9,Return_lag10,Return_lag11,Return_lag12,Return_lag13,Return_lag14,Return_lag15,Return_lag16,Return_lag17,Return_lag18,Return_lag19,Return_lag20,Return_lag21,Return_lag22,Return_lag23,Return_lag24,Return_lag25,Return_lag26,Return_lag27,Return_lag28,Return_lag29,Return_lag30
2020-02-13,659.4655151367188,661.0760000110254,654.2985851368666,661.0760000110254,13565659.0,0.00261839085280835,650.1158621651786,661.7651745024182,0.010755912728793032,0.016767308870656385,6.777414874158808,1.6104848743066214,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064,0.02303144700362436,-0.007510254415092232,0.015384714638899677,-0.02319233255512232,0.0012050249540584979,0.017024429093664528
2020-02-14,665.482421875,671.6782343336056,650.0487037471439,660.8523004641426,21227841.0,0.009123914139822498,652.6146501813616,660.6936587379092,0.009935125654014516,0.016764268507084856,21.62953058646167,-4.630121410857441,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064,0.02303144700362436,-0.007510254415092232,0.015384714638899677,-0.02319233255512232,0.0012050249540584979
2020-02-17,661.2997436523438,673.7808982963232,659.5327193324579,666.108801931165,13149130.0,-0.006285182125279176,653.9215698242188,658.5048246837798,0.010531029760486654,0.015361412475727162,14.24817896386537,4.809058278821226,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064,0.02303144700362436,-0.007510254415092232,0.015384714638899677,-0.02319233255512232
2020-02-18,656.4458618164062,660.248373884015,651.9723392868693,660.248373884015,11127161.0,-0.0073399118667877294,656.0784301757812,657.1212216331845,0.008114435224436084,0.014044090940194024,8.276034597145667,3.8025120676087454,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064,0.02303144700362436,-0.007510254415092232,0.015384714638899677
2020-02-19,672.7296142578125,673.9150960904617,659.8905874009041,661.7918138192991,14084409.0,0.024805933571351302,660.4369419642857,656.4800124395462,0.011347306631034275,0.015207978486870371,14.024508689557592,-10.937800438513364,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064,0.02303144700362436,-0.007510254415092232
2020-02-20,664.744384765625,674.6085086758875,663.7825731086709,669.6876451612479,16892268.0,-0.011869894416640436,662.5586896623884,655.4702758789062,0.012969174709722675,0.015396307522481117,10.825935567216561,4.943260395622929,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064,0.02303144700362436
2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214.0,-0.027591888182465607,660.9386247907366,653.7255946568081,0.01664304362497909,0.016422214029652656,16.753343219154885,11.094338758112258,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866,-0.000226071599211064
2020-02-25,633.6309814453125,649.2883120922913,630.7678836964259,649.2883120922913,27745062.0,-0.019758345652359455,657.2479771205357,651.4856334867932,0.01764564682924671,0.016849736740680833,18.52042839586545,15.657330646978835,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435,-0.0025523216235557866
2020-02-26,622.7154541015625,631.8190982347916,620.6352917833475,630.7678186366056,29362748.0,-0.01722694701394123,651.138410295759,649.0454246884301,0.01678070738805959,0.01706911145810328,11.18380645144407,8.052364535043125,-0.019758345652359455,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473,-0.009263378869809435
2020-02-27,620.143310546875,623.520820005058,612.4264202255112,620.9261263497503,25054993.0,-0.004130527896402558,645.2589198521206,647.2240629650298,0.01686528127878153,0.016478430879818363,11.094399779546848,0.7828158028753478,-0.01722694701394123,-0.019758345652359455,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561,-0.003628931394382473
2020-02-28,594.3756713867188,607.0581581658521,592.7428492925397,606.1186837322065,39315769.0,-0.04155110394955808,636.3917497907366,644.0031215122768,0.020797248516924566,0.018392778120190956,14.315308873312347,11.743012345487728,-0.004130527896402558,-0.01722694701394123,-0.019758345652359455,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197,0.009219929846627561
2020-03-02,588.7837524414062,612.4263145698782,582.0510718430629,606.2081051825395,29500495.0,-0.009408054896099971,624.3994838169643,641.284917922247,0.012581274362853508,0.017884633699248906,30.37524272681526,17.424352741133248,-0.04155110394955808,-0.004130527896402558,-0.01722694701394123,-0.019758345652359455,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124,0.028025359268427197
2020-03-03,600.7281494140625,605.6714099989539,591.4008335900859,594.8454740172322,27398798.0,0.020286560087856564,615.2543073381696,639.8193039667038,0.01949855955613798,0.018151031801110284,14.27057640886801,-5.8826753968303365,-0.009408054896099971,-0.04155110394955808,-0.004130527896402558,-0.01722694701394123,-0.019758345652359455,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087,-0.030771669666652124
2020-03-04,599.3189086914062,605.6265863851147,585.0930684252744,604.8213738082619,22105261.0,-0.002345887609946029,608.5280325753348,638.8436482747396,0.01893474191724935,0.01776355312674035,20.53351795984031,5.50246511685566,0.020286560087856564,-0.009408054896099971,-0.04155110394955808,-0.004130527896402558,-0.01722694701394123,-0.019758345652359455,-0.027591888182465607,-0.011869894416640436,0.024805933571351302,-0.0073399118667877294,-0.006285182125279176,0.009123914139822498,0.00261839085280835,0.01208067406767177,0.01194624702044722,0.0013599365730911916,-0.016565889993558125,0.006420461079981399,0.015493408517352592,0.029520147309744837,-0.018524548414236786,-0.022233690475661705,-0.024394316265923033,0.0055036143657980485,-0.023099198544342503,-0.009858412316962717,-0.0034711989495793683,-0.0042389674288206836,-0.00035872424387950463,0.001011640994414087
